rpt_rec_num,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural Versus Urban,CCN Facility Type,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Number of Beds,Total Bed Days Available,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Total Salaries (adjusted),Contract Labor: Direct Patient Care,Inpatient Revenue,Outpatient Revenue,Less Contractual Allowance and Discounts on Patients' Accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio
740114,180115,ROCKCASTLE HOSPT. & RESPIR CARE CTR,145 NEWCOMB AVENUE,MT VERNON,KY,40456,ROCKCASTLE,99918,R,STH,1,2,2021-11-01,2022-10-31,403.31,30,10950,,1915722,682570,3576415,38281455,39058563,4204755,73920301,120884733,86246033,207130766,7208219,38281455,,120949905,90733011,132601260,79081656,77340018,1741638,4477376,6219014,573888,5645126,0.356877
740122,181321,WAYNE COUNTY HOSPITAL,166 HOSPITAL STREET,MONTICELLO,KY,-42633,WAYNE,99918,R,CAH,1,2,2021-11-01,2022-10-31,148.48,25,9125,73057,1004586,550610,1924052,8869246,12253768,409232,18737367,6086381,32807927,38894308,,,,6254374,36107669,22868598,19493445,21123014,-1629569,2039535,409966,,409966,0.481751
740128,190004,THIBODAUX REGIONAL HEALTH SYSTEM,602 NORTH ACADIA ROAD,THIBODAUX,LA,70302,LAFOURCHE PARISH,26380,U,STH,1,2,2021-10-01,2022-09-30,1093.9,164,59860,695640,4942659,1604014,1604014,99132456,149924267,12562738,156720591,295931581,782515201,1078446782,11942730,99132456,3777678,402206031,810986401,968326319,244866113,249056723,-4190610,68447049,64256439,24871033,39385406,0.145321
740135,191306,WEST FELICIANA PARISH HOSPITAL,5266 COMMERCE STREET,ST. FRANCISVILLE,LA,-70775,WEST FELICIANA PARISH,12940,U,CAH,1,13,2021-11-01,2022-10-31,167.28,25,9125,71049,1510675,1485334,2453724,11132609,19392736,3093210,28647751,1080791,28718292,29799083,,,,1178221,30223566,6235261,25166526,30525345,-5358819,8526323,3167504,,3167504,0.961364
740136,191316,POINTE COUPEE GENERAL HOSPITAL,2202 FALSE RIVER,NEW ROADS,LA,70760,POINTE COUPEE PARISH,12940,R,CAH,1,11,2021-11-01,2022-10-31,179.64,23,8395,49861,1291841,902530,3351430,9837322,9441332,862965,20858063,1508173,29820419,31328592,,,,1508971,29936361,15494196,15951136,19278654,-3327518,10798674,7471156,2070998,5400158,0.665784
740149,230071,STRAITH HOSPITAL FOR SPECIAL SURGERY,23901 LAHSER ROAD,SOUTHFIELD,MI,48033,,47664,U,STH,1,2,2021-11-01,2022-10-31,120,34,12410,,293880,121788,354055,8370143,10884922,1235677,17389379,4858824,35653141,40511965,1630375,8370143,1429927,7488765,40247484,31743350,15992899,18030798,-2037899,1484223,-553676,,-553676,0.429241
740154,230277,HURON VALLEY-SINAI HOSPITAL,1 WILLIAM CARLS DRIVE,COMMERCE TOWNSHIP,MI,48382,OAKLAND,47664,R,STH,1,4,2021-11-01,2022-10-31,570.5,145,52925,293144,8579942,1641308,6171844,61404456,116837334,7682867,152411435,460717895,623112279,1083830174,11877301,61373654,6407971,460718108,623258112,905533036,178443184,178241790,201394,-1185397,-984003,,-984003,0.140623
740190,260074,MOBERLY REGIONAL MEDICAL CENTER,1515 UNION AVENUE,MOBERLY,MO,65270,RANDOLPH,99926,R,STH,1,4,2021-11-01,2022-10-31,179.25,45,16425,609625,4777197,1332214,3941386,14215966,26577421,1636198,41005605,112768113,179538026,292306139,2334411,14215966,1997209,112768113,179538026,234749982,57556157,40793387,16762770,515966,17278736,,17278736,0.140283
740198,261313,SAMARITAN MEMORIAL HOSPITAL,1205 N. MISSOURI STREET,MACON,MO,63552,MACON,99926,R,CAH,1,9,2022-01-01,2022-12-31,155.63,25,9125,85812,1050006,600943,600943,10386223,18132898,1598910,23922544,6079846,40537691,46617537,,,,6303953,45854377,26735224,25423106,28519121,-3096015,3484617,388602,,388602,0.513166
740202,262013,SSH - ST LOUIS INC.,300 FIRST CAPITOL DRIVE 1ST FLOOR,ST. CHARLES,MO,63301,SAINT CHARLES,41180,U,LTCH,2,4,2021-11-01,2022-10-31,175.7,71,25915,,,,,18135165,26871858,1709333,46882953,242923178,,242923178,2787236,18135165,7631338,242923177,,197448465,45474712,45290637,184075,164688,348763,3525267,-3176504,
740203,262017,SSH - SPRINGFIELD INC.,1630 EAST PRIMROSE STREET,SPRINGFIELD,MO,65804,GREENE,44180,U,LTCH,2,4,2021-11-01,2022-10-31,154.51,44,16060,,,,,11198733,12794770,535574,24332239,128571542,,128571542,2019739,11198733,591038,128571542,,104451340,24120202,23993503,126699,1223127,1349826,2367260,-1017434,
740240,320060,ZUNI COMPREHENSIVE HEALTH CENTER,ROUTE 301 N B STREET,ZUNI,NM,87237,MCKINLEY,99932,R,STH,1,7,2021-10-01,2022-09-30,269,27,9855,,,,,19406140,45179251,1219613,47625154,24479,302916,327395,1,19406140,,,,,,64585391,-64585391,,-64585391,,-64585391,
740272,341319,TRANSYLVANIA COMMUNITY HOSPITAL,260 HOSPITAL DRIVE,BREVARD,NC,28712,TRANSYLVANIA,99934,R,CAH,1,4,2021-11-01,2022-10-31,155.75,25,9125,2690836,3288269,3579737,4257834,15390831,36855583,3328382,44834843,36128313,138483748,174612061,,,,35907639,140510180,129652857,46764962,52223235,-5458273,1400315,-4057958,5,-4057963,0.256768
740276,341329,BLUE RIDGE REGIONAL HOSPITAL,125 HOSPITAL DRIVE,SPRUCE PINE,NC,28777,,99934,R,CAH,1,4,2021-11-01,2022-10-31,158.78,25,9125,2709675,3270348,3560456,3560456,17010283,33848962,2014531,42843266,23923242,154681348,178604590,,,,23783023,154821671,134940395,43664299,50802316,-7138017,389035,-6748982,,-6748982,0.239878
